,
Device,Instance,Datapoint,Start,End,Min,Max,Average,Change(%),Change(Delta)
intelliquip (intelliquip.logicmonitor.com),_Customer Success-intelliquip,planCommitPercent,96.00,96.00,96.00,96.00,96.00,0.00,0.00
invictuscp (invictuscp.logicmonitor.com),_Customer Success-invictuscp,planCommitPercent,60.00,60.00,60.00,60.00,60.00,0.00,0.00
iowabankers (iowabankers.logicmonitor.com),_Customer Success-iowabankers,planCommitPercent,20.00,12.00,12.00,20.00,19.84,-40.00,-8.00
islandfcu (islandfcu.logicmonitor.com),_Customer Success-islandfcu,planCommitPercent,80.00,80.00,80.00,80.00,80.00,0.00,0.00
issinc (issinc.logicmonitor.com),_Customer Success-issinc,planCommitPercent,12.00,12.00,12.00,12.00,12.00,0.00,0.00
kaplanco (kaplanco.logicmonitor.com),_Customer Success-kaplanco,planCommitPercent,52.00,52.00,52.00,52.00,52.00,0.00,0.00
kghm (kghm.logicmonitor.com),_Customer Success-kghm,planCommitPercent,56.00,56.00,56.00,56.00,56.00,0.00,0.00
knj (knj.logicmonitor.com),_Customer Success-knj,planCommitPercent,116.00,116.00,116.00,116.00,116.00,0.00,0.00
knowledgeplatform (knowledgeplatform.logicmonitor.com),_Customer Success-knowledgeplatform,planCommitPercent,12.00,12.00,12.00,12.00,12.00,0.00,0.00
kswiss (kswiss.logicmonitor.com),_Customer Success-kswiss,planCommitPercent,48.00,48.00,48.00,48.00,48.00,0.00,0.00
kzf (kzf.logicmonitor.com),_Customer Success-kzf,planCommitPercent,112.00,112.00,112.00,112.00,112.00,0.00,0.00
lachmanconsultants (lachmanconsultants.logicmonitor.com),_Customer Success-lachmanconsultants,planCommitPercent,28.00,28.00,28.00,28.00,28.00,0.00,0.00
lanzo (lanzo.logicmonitor.com),_Customer Success-lanzo,planCommitPercent,64.00,64.00,64.00,64.00,64.00,0.00,0.00
learnquest (learnquest.logicmonitor.com),_Customer Success-learnquest,planCommitPercent,64.00,64.00,64.00,64.00,64.00,0.00,0.00
lelaw (lelaw.logicmonitor.com),_Customer Success-lelaw,planCommitPercent,104.00,96.00,96.00,104.00,103.44,-7.69,-8.00
lightspeedvt (lightspeedvt.logicmonitor.com),_Customer Success-lightspeedvt,planCommitPercent,64.00,64.00,64.00,64.00,64.00,0.00,0.00
ligllc (ligllc.logicmonitor.com),_Customer Success-ligllc,planCommitPercent,12.00,12.00,12.00,12.00,12.00,0.00,0.00
